,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1190_5.pdb,18.759,9.048317650695026e-15,0.697,0.862,,0.625,26.928,37.18,0.266,0.731,1.919,1.35,3.776,0.0,0.241,0.119,0.246,0.288,0.314,0.588
normalized_best_R1190_2.pdb,21.351,2.430017853605193e-10,0.584,0.657,0.0,0.577,36.559,40.32,0.271,0.684,2.183,1.646,2.531,0.0,0.218,0.11,0.178,0.263,0.322,0.514
normalized_3drna_r1190_5.pdb,22.356,7.338153473757103e-09,0.629,0.769,,0.57,35.547,43.93,0.297,0.691,2.277,1.44,2.778,0.0,0.244,0.11,0.22,0.28,0.364,0.529
normalized_best_R1190_1.pdb,22.432,9.392792432727504e-09,0.701,0.848,0.0,0.645,31.997,38.3,0.32,0.714,2.296,1.272,2.246,0.0,0.235,0.11,0.186,0.297,0.347,0.574
normalized_rhofold_R1190.pdb,22.588,1.5453133994647317e-08,0.429,0.439,0.0,0.484,52.706,61.71,0.245,0.64,2.398,2.116,1.16,0.0,0.201,0.076,0.178,0.246,0.305,0.387
normalized_best_R1190_4.pdb,22.866,3.690378103105019e-08,0.648,0.625,0.0,0.682,35.277,32.16,0.269,0.725,2.372,1.406,3.837,0.0,0.216,0.102,0.17,0.263,0.331,0.568
normalized_3drna_r1190_2.pdb,23.205,1.0304028491558981e-07,0.625,0.743,0.0,0.596,37.128,48.54,0.274,0.693,2.333,1.445,2.519,0.0,0.22,0.076,0.17,0.28,0.356,0.516
normalized_3drna_r1190_4.pdb,23.526,2.6455798041169487e-07,0.631,0.75,0.0,0.594,37.276,44.9,0.235,0.706,2.388,1.438,2.537,0.0,0.218,0.093,0.22,0.263,0.297,0.535
normalized_alphafold3_R1190_4.pdb,26.485,0.00037417626509705926,0.661,0.765,0.0,0.634,40.056,32.5,0.289,0.708,2.742,1.564,4.073,0.0,0.246,0.152,0.229,0.28,0.322,0.569
normalized_alphafold3_R1190_1.pdb,27.132,0.0012987907327039472,0.664,0.754,0.0,0.637,40.89,32.18,0.272,0.713,2.796,1.566,4.078,0.0,0.241,0.144,0.22,0.28,0.322,0.558
normalized_best_R1190_3.pdb,27.175,0.001404856707732438,0.518,0.403,0.0,0.588,52.429,33.25,0.274,0.677,2.747,1.886,4.435,0.0,0.237,0.11,0.22,0.288,0.331,0.483
normalized_3drna_r1190_3.pdb,27.491,0.0024591488093106406,0.654,0.795,0.0,0.604,42.051,44.84,0.222,0.698,2.821,1.436,2.366,0.0,0.212,0.093,0.195,0.271,0.288,0.512
normalized_alphafold3_R1190_2.pdb,28.701,0.01616081171744216,0.659,0.744,0.0,0.634,43.559,32.48,0.325,0.708,2.945,1.568,4.143,0.0,0.235,0.119,0.22,0.28,0.322,0.581
normalized_vfold_r1190_2.pdb,29.008,0.02442741361909251,0.624,0.8,0.0,0.565,46.484,40.79,0.241,0.705,2.98,1.405,2.304,0.0,0.225,0.11,0.178,0.297,0.314,0.008
normalized_alphafold3_R1190_3.pdb,29.106,0.02772682363850132,0.659,0.754,0.0,0.637,44.174,32.08,0.273,0.709,2.966,1.562,4.097,0.0,0.235,0.136,0.22,0.28,0.305,0.568
normalized_isrna_r1190.pdb,29.184,0.030605991990156234,0.642,0.8,0.0,0.588,45.43,37.46,0.25,0.688,2.987,1.552,2.777,0.0,0.233,0.11,0.212,0.288,0.322,0.443
