,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_rp21_3.pdb,1.294,0.0,0.808,0.92,0.566,0.832,1.6,20.64,0.741,0.908,0.141,0.638,0.984,0.0,0.933,0.756,0.976,1.0,1.0,0.642
normalized_alphafold3_rp21_2.pdb,1.301,0.0,0.819,0.92,0.516,0.862,1.588,20.96,0.732,0.902,0.142,0.646,0.99,0.0,0.939,0.78,0.976,1.0,1.0,0.58
normalized_alphafold3_rp21_4.pdb,1.339,0.0,0.816,0.92,0.566,0.844,1.64,20.59,0.719,0.901,0.148,0.651,0.998,0.0,0.921,0.732,0.976,0.976,1.0,0.638
normalized_alphafold3_rp21_1.pdb,1.357,0.0,0.808,0.92,0.516,0.844,1.679,20.96,0.743,0.901,0.147,0.639,0.969,0.0,0.939,0.78,0.976,1.0,1.0,0.58
normalized_alphafold3_rp21_5.pdb,1.471,0.0,0.833,0.92,0.632,0.862,1.766,20.88,0.714,0.899,0.162,0.651,0.974,0.0,0.908,0.707,0.951,0.976,1.0,0.565
normalized_trrosettarna_rp21_1.pdb,1.92,1.6653345369377348e-16,0.715,0.877,0.447,0.734,2.686,33.29,0.539,0.819,0.182,1.222,0.738,0.0,0.817,0.415,0.854,1.0,1.0,0.684
normalized_trrosettarna_rp21_3.pdb,2.229,6.106226635438361e-16,0.483,0.686,0.158,0.487,4.614,40.39,0.459,0.804,0.21,1.603,0.495,0.0,0.756,0.268,0.756,1.0,1.0,0.619
normalized_trrosettarna_rp21_2.pdb,2.384,1.2212453270876722e-15,0.498,0.679,0.12,0.557,4.787,36.27,0.498,0.803,0.225,1.556,0.557,0.0,0.799,0.366,0.829,1.0,1.0,0.627
normalized_best_rp21_18.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_72.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_51.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_4.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_7.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_39.pdb,3.83,5.578870698741412e-13,0.643,0.815,0.0,0.679,5.953,29.61,0.325,0.683,0.378,1.703,0.869,0.0,0.64,0.195,0.537,0.829,1.0,0.022
normalized_best_rp21_74.pdb,3.933,8.435474541101939e-13,0.766,0.881,0.424,0.806,5.134,28.28,0.329,0.739,0.328,1.341,0.933,0.0,0.646,0.22,0.488,0.878,1.0,0.592
normalized_best_rp21_69.pdb,4.135,1.882438649403184e-12,0.662,0.881,0.0,0.734,6.245,26.09,0.292,0.684,0.385,1.746,0.945,0.0,0.61,0.22,0.415,0.805,1.0,0.513
normalized_best_rp21_75.pdb,4.139,1.9133583606389948e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_best_rp21_34.pdb,4.139,1.9133028494877635e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_best_rp21_13.pdb,4.139,1.9133028494877635e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_best_rp21_47.pdb,4.139,1.9133583606389948e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_best_rp21_28.pdb,4.139,1.9133583606389948e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_best_rp21_14.pdb,4.139,1.9133028494877635e-12,0.655,0.92,0.0,0.71,6.319,30.2,0.328,0.674,0.416,1.841,0.791,0.0,0.592,0.244,0.415,0.707,1.0,0.01
normalized_rhofold_rp21.pdb,4.16,2.076783189863818e-12,0.64,0.881,0.365,0.599,6.498,60.5,0.298,0.676,0.44,1.549,0.486,0.0,0.61,0.195,0.488,0.78,0.976,0.494
normalized_best_rp21_81.pdb,4.74,1.9268475703881904e-11,0.552,0.92,0.224,0.46,8.586,33.76,0.257,0.587,0.45,1.652,0.603,0.0,0.549,0.146,0.342,0.732,0.976,0.479
normalized_best_rp21_93.pdb,4.74,1.9268475703881904e-11,0.552,0.92,0.224,0.46,8.586,33.76,0.257,0.587,0.45,1.652,0.603,0.0,0.549,0.146,0.342,0.732,0.976,0.479
normalized_best_rp21_80.pdb,4.746,1.9722334876348668e-11,0.56,0.92,0.224,0.47,8.474,34.69,0.278,0.571,0.438,1.698,0.572,0.0,0.567,0.146,0.366,0.78,0.976,0.473
normalized_best_rp21_90.pdb,4.746,1.9722223854046206e-11,0.56,0.92,0.224,0.47,8.474,34.69,0.278,0.571,0.438,1.698,0.572,0.0,0.567,0.146,0.366,0.78,0.976,0.473
normalized_best_rp21_85.pdb,4.802,2.4264812381602496e-11,0.522,0.881,0.0,0.46,9.205,36.37,0.248,0.562,0.441,1.763,0.526,0.0,0.567,0.171,0.342,0.756,1.0,0.459
normalized_best_rp21_78.pdb,4.802,2.4264812381602496e-11,0.522,0.881,0.0,0.46,9.205,36.37,0.248,0.562,0.441,1.763,0.526,0.0,0.567,0.171,0.342,0.756,1.0,0.459
normalized_best_rp21_83.pdb,4.808,2.4801438680555066e-11,0.544,0.881,0.224,0.46,8.832,36.12,0.232,0.561,0.442,1.742,0.549,0.0,0.573,0.171,0.366,0.756,1.0,0.46
normalized_best_rp21_89.pdb,4.808,2.4801438680555066e-11,0.544,0.881,0.224,0.46,8.832,36.12,0.232,0.561,0.442,1.742,0.549,0.0,0.573,0.171,0.366,0.756,1.0,0.46
