,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3_chen_1_rpr.pdb,7.699,0.0,0.723,0.863,0.0,0.712,10.648,,0.355,0.675,0.775,1.372,1.56,0.0,0.381,0.107,0.214,0.417,0.786,0.481,0.0,,
normalized_3_dokholyan_2_rpr.pdb,11.285,0.0,0.705,0.824,0.0,0.701,16.006,,0.268,0.652,1.181,1.471,1.385,0.0,0.268,0.095,0.167,0.321,0.488,0.47,0.0,,
normalized_3_bujnicki_1_rpr.pdb,12.066,2.220446049250313e-16,0.699,0.817,0.0,0.699,17.261,,0.275,0.655,1.221,1.49,1.923,0.0,0.277,0.119,0.202,0.298,0.488,0.474,0.0,,
normalized_3_das_2_rpr.pdb,12.084,2.7755575615628914e-16,0.72,0.863,0.401,0.703,16.792,,0.307,0.672,1.273,1.358,2.077,0.0,0.345,0.143,0.238,0.429,0.571,0.464,0.0,,
normalized_3_das_5_rpr.pdb,12.086,2.7755575615628914e-16,0.72,0.902,0.359,0.699,16.795,,0.363,0.667,1.257,1.334,2.069,0.0,0.339,0.143,0.226,0.405,0.583,0.467,0.0,,
normalized_3_major_2_rpr.pdb,13.79,4.206635040304718e-13,0.58,0.667,0.0,0.599,23.764,,0.256,0.632,1.415,1.605,1.826,0.0,0.271,0.071,0.155,0.286,0.571,0.002,0.0,,
normalized_3_bujnicki_2_rpr.pdb,14.27,2.8432256549137946e-12,0.651,0.826,0.0,0.629,21.927,,0.339,0.649,1.497,1.499,1.88,0.0,0.327,0.095,0.155,0.429,0.631,0.49,0.0,,
normalized_3_das_1_rpr.pdb,15.734,6.242728556316024e-10,0.735,0.869,0.571,0.703,21.415,,0.24,0.675,1.747,1.373,2.103,0.0,0.28,0.143,0.226,0.286,0.464,0.488,0.0,,
normalized_3_das_3_rpr.pdb,16.858,2.5268964642943814e-08,0.717,0.885,0.401,0.69,23.523,,0.312,0.664,1.856,1.421,2.035,0.0,0.319,0.155,0.25,0.369,0.5,0.494,0.0,,
normalized_3_dokholyan_1_rpr.pdb,17.066,4.800151270911712e-08,0.698,0.898,0.0,0.681,24.435,,0.217,0.627,1.81,1.502,1.473,0.0,0.238,0.143,0.214,0.262,0.333,0.441,0.0,,
normalized_3_das_4_rpr.pdb,18.052,8.497105571381169e-07,0.711,0.847,0.401,0.694,25.404,,0.354,0.665,1.849,1.439,2.082,0.0,0.39,0.155,0.286,0.488,0.631,0.476,0.0,,
normalized_3_major_1_rpr.pdb,24.63,0.1288375180672578,0.532,0.393,0.0,0.619,46.286,,0.308,0.581,2.53,2.027,1.782,0.0,0.155,0.095,0.143,0.155,0.226,0.002,0.0,,
