,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp14_bound_1.pdb,2.082,0.0,0.674,0.843,0.53,0.638,3.091,29.36,0.885,0.607,0.934,1.0,1.0,0.0,0.806,0.169,1.27,1.048,0.706,0.853,,,
normalized_trrosettarna_rp14_bound_3.pdb,2.385,0.0,0.728,0.877,0.474,0.712,3.279,36.02,0.865,0.525,0.934,1.0,1.0,0.0,0.786,0.194,1.118,1.066,0.678,0.848,,,
normalized_vfoldpipeline_rp14_bound.pdb,2.631,0.0,0.908,0.97,0.75,0.913,2.897,17.31,0.77,0.361,0.738,0.984,1.0,0.0,0.665,0.216,0.552,1.502,0.785,0.887,,,
normalized_trrosettarna_rp14_bound_4.pdb,2.699,0.0,0.556,0.767,0.177,0.541,4.855,31.63,0.865,0.557,0.902,1.0,1.0,0.0,0.778,0.194,1.486,0.844,0.64,0.81,,,
normalized_trrosettarna_rp14_bound_2.pdb,2.76,0.0,0.604,0.84,0.25,0.592,4.573,29.19,0.853,0.508,0.902,1.0,1.0,0.0,0.764,0.207,1.282,1.141,0.691,0.836,,,
normalized_rhofold_rp14_bound.pdb,6.433,0.0,0.679,0.824,0.144,0.71,9.474,57.6,0.451,0.164,0.328,0.492,0.82,0.0,0.31,0.648,1.294,1.029,0.586,0.734,,,
normalized_trrosettarna_rp14_bound_5.pdb,9.915,1.817423989081135e-11,0.263,,0.0,0.365,37.735,56.94,0.336,0.115,0.23,0.393,0.607,0.0,0.22,1.141,1.867,0.318,0.525,0.791,,,
normalized_mcsym_rp14_bound_1.pdb,12.236,4.947285742185059e-08,0.568,0.779,0.0,0.544,21.554,35.68,0.311,0.131,0.246,0.41,0.459,0.0,0.229,1.272,1.606,1.345,0.011,0.685,,,
normalized_3drna_rp14_bound_3.pdb,12.392,7.941024571245239e-08,0.608,0.874,0.0,0.576,20.376,31.76,0.266,0.131,0.197,0.295,0.443,0.0,0.198,1.236,1.675,0.884,0.376,0.644,,,
normalized_isrna_rp14_bound.pdb,13.497,1.84572569078556e-06,0.743,0.97,,0.72,18.171,18.55,0.332,0.18,0.279,0.311,0.557,0.0,0.233,1.333,1.247,1.391,0.527,0.715,,,
normalized_mcsym_rp14_bound_3.pdb,14.032,7.429732687691537e-06,0.549,0.779,0.0,0.518,25.542,35.43,0.283,0.131,0.23,0.311,0.459,0.0,0.208,1.421,1.586,1.414,0.007,0.631,,,
normalized_rnajp_rp14_bound.pdb,14.478,2.2249128121598627e-05,0.615,0.759,0.0,0.625,23.527,23.6,0.307,0.164,0.246,0.328,0.492,0.0,0.234,1.483,1.56,1.592,0.037,0.689,,,
normalized_3drna_rp14_bound_2.pdb,14.607,3.0169854400186047e-05,0.604,0.843,0.0,0.566,24.188,32.82,0.242,0.147,0.213,0.279,0.328,0.0,0.172,1.5,1.601,0.974,0.357,0.618,,,
normalized_mcsym_rp14_bound_4.pdb,14.655,3.376066574800607e-05,0.573,0.8,0.0,0.544,25.595,36.74,0.295,0.164,0.23,0.311,0.475,0.0,0.21,1.523,1.635,1.296,0.021,0.648,,,
