,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_6PRV_5.pdb,0.603,0.0,0.963,0.968,0.866,0.978,0.626,8.9,0.934,,0.064,0.294,1.229,0.0,0.0,0.0,0.0,0.0,0.0,0.956
normalized_alphafold3_6PRV_3.pdb,0.615,0.0,0.963,1.0,0.866,0.967,0.639,8.91,0.933,,0.066,0.296,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.956
normalized_alphafold3_6PRV_2.pdb,0.638,0.0,0.963,0.968,0.866,0.978,0.663,8.88,0.925,,0.068,0.295,1.223,0.0,0.0,0.0,0.0,0.0,0.0,0.954
normalized_alphafold3_6PRV_4.pdb,0.65,0.0,0.963,1.0,0.866,0.967,0.675,9.06,0.921,,0.069,0.304,1.222,0.0,0.0,0.0,0.0,0.0,0.0,0.953
normalized_alphafold3_6PRV_1.pdb,0.65,0.0,0.963,1.0,0.866,0.967,0.675,8.74,0.922,,0.069,0.295,1.226,0.0,0.0,0.0,0.0,0.0,0.0,0.939
normalized_trrosettarna_6PRV_3.pdb,1.995,0.0,0.458,0.586,0.354,0.455,4.357,37.44,0.731,,0.183,1.419,0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.65
normalized_trrosettarna_6PRV_2.pdb,2.057,0.0,0.56,0.701,0.144,0.589,3.672,32.99,0.729,,0.187,1.503,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.645
normalized_trrosettarna_6PRV_1.pdb,2.168,0.0,0.442,0.527,0.134,0.484,4.91,31.64,0.759,,0.169,1.574,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.645
normalized_trrosettarna_6PRV_4.pdb,2.389,0.0,0.366,0.422,0.0,0.428,6.534,35.58,0.727,,0.187,1.765,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.611
normalized_rhofold_6PRV.pdb,2.549,0.0,0.725,1.0,0.177,0.704,3.515,48.43,0.565,,0.276,1.003,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.585
normalized_vfoldpipeline_6PRV_1.pdb,8.814,1.0178691223217129e-11,0.672,0.877,0.0,0.667,13.122,19.76,0.335,,0.892,1.641,1.128,0.0,0.0,0.0,0.0,0.0,0.0,0.431
normalized_vfoldpipeline_6PRV_3.pdb,9.474,1.1703749080993475e-10,0.658,0.839,,0.652,14.408,23.92,0.21,,0.936,1.671,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.334
normalized_rnacomposer_6PRV.pdb,10.493,3.939725490287316e-09,0.682,0.904,0.354,0.652,15.382,19.36,0.245,,1.09,1.629,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.423
normalized_trrosettarna_6PRV_5.pdb,11.046,2.3316975572562626e-08,0.298,0.183,0.0,0.41,37.076,57.82,0.182,,1.221,2.043,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.5
normalized_3drna_6PRV_1.pdb,15.392,0.0011481451323487324,0.652,0.867,0.0,0.639,23.619,28.06,0.21,,1.61,1.555,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.363
normalized_3drna_6PRV_3.pdb,15.635,0.0017813659724203457,0.399,0.527,0.0,0.447,39.211,43.34,0.166,,1.659,2.151,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.182
normalized_3drna_6PRV_5.pdb,15.771,0.002265958530467682,0.45,0.689,0.0,0.413,35.033,39.99,0.183,,1.68,2.11,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.195
normalized_rnajp_6PRV.pdb,16.025,0.003491660692998555,0.627,0.904,0.204,0.587,25.561,24.86,0.261,,1.658,1.664,1.188,0.0,0.0,0.0,0.0,0.0,0.0,0.024
normalized_vfold_6PRV_4.pdb,16.928,0.014043617310234124,0.548,0.877,,0.463,30.87,29.03,0.193,,1.765,1.733,0.831,0.0,0.0,0.0,0.0,0.0,0.0,0.002
normalized_simrna_6PRV.pdb,17.552,0.03220661499295846,0.627,0.845,0.0,0.614,27.996,27.1,0.19,,1.828,1.907,1.179,0.0,0.0,0.0,0.0,0.0,0.0,0.013
normalized_3drna_6PRV_4.pdb,17.746,0.04078603972501488,0.568,0.653,0.0,0.599,31.233,39.78,0.182,,1.819,1.944,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.232
normalized_3drna_6PRV_2.pdb,18.882,0.13341781122993757,0.53,0.759,0.0,0.497,35.607,35.76,0.16,,1.96,1.907,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.304
normalized_isrna_6PRV.pdb,20.819,0.4863985083633679,0.621,0.904,0.0,0.582,33.525,25.08,0.184,,2.178,1.772,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.31
normalized_vfold_6PRV_1.pdb,20.945,0.5142675069638395,0.561,0.839,0.0,0.529,37.33,32.91,0.183,,2.153,1.737,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.004
normalized_vfold_6PRV_5.pdb,21.028,0.5326550954065621,0.56,0.814,0.0,0.516,37.523,31.49,0.178,,2.174,1.693,0.767,0.0,0.0,0.0,0.0,0.0,0.0,0.001
normalized_vfoldpipeline_6PRV_2.pdb,21.174,0.564797709644008,0.672,0.852,,0.667,31.498,23.08,0.204,,2.19,1.588,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.388
normalized_vfold_6PRV_2.pdb,22.288,0.7828744644192536,0.549,0.828,0.0,0.497,40.581,34.15,0.156,,2.266,1.691,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.01
normalized_vfold_6PRV_3.pdb,23.041,0.8849366494251022,0.619,0.904,0.354,0.544,37.216,31.11,0.192,,2.365,1.653,0.788,0.0,0.0,0.0,0.0,0.0,0.0,0.001
