,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp14_free_1.pdb,2.526,0.0,0.647,0.869,0.0,0.618,3.901,31.26,0.869,0.571,0.905,1.0,1.0,0.0,0.662,0.207,1.21,1.035,0.709,0.289,,,
normalized_trrosettarna_rp14_free_2.pdb,2.661,0.0,0.521,0.754,0.204,0.483,5.106,35.57,0.845,0.476,0.905,1.0,1.0,0.0,0.67,0.207,1.397,0.845,0.696,0.284,,,
normalized_vfoldpipeline_rp14_free.pdb,2.726,0.0,0.87,0.938,0.913,0.841,3.133,22.26,0.881,0.619,0.905,1.0,1.0,0.0,0.626,0.237,0.75,1.314,0.651,0.287,,,
normalized_trrosettarna_rp14_free_3.pdb,2.803,0.0,0.504,0.603,0.365,0.49,5.565,40.22,0.857,0.476,0.952,1.0,1.0,0.0,0.611,0.234,1.357,0.708,0.668,0.27,,,
normalized_3drna_rp14_free_1.pdb,3.767,0.0,0.884,0.938,0.913,0.86,4.262,21.18,0.952,0.857,0.952,1.0,1.0,0.0,0.528,0.389,0.653,1.202,0.834,0.312,,,
normalized_simrna_rp14_free.pdb,9.65,9.284845114976291e-11,0.736,0.853,0.289,0.734,13.111,25.32,0.774,0.429,0.667,1.0,1.0,0.0,0.279,0.986,1.41,1.413,0.045,0.3,,,
normalized_mcsym_rp14_free_4.pdb,13.22,5.682987474886492e-06,0.682,0.86,0.236,0.659,19.379,38.21,0.798,0.571,0.762,0.857,1.0,0.0,0.244,1.413,1.327,1.263,0.012,0.301,,,
normalized_rnacomposer_rp14_free.pdb,14.399,9.409515041597372e-05,0.784,0.97,0.408,0.748,18.373,24.14,0.869,0.619,0.857,1.0,1.0,0.0,0.302,1.486,1.196,0.99,0.633,0.298,,,
normalized_3drna_rp14_free_4.pdb,14.753,0.0002017510166941,0.772,0.943,0.204,0.772,19.113,21.73,0.941,0.857,0.905,1.0,1.0,0.0,0.363,1.558,1.305,1.281,0.66,0.306,,,
normalized_3drna_rp14_free_2.pdb,14.861,0.0002529915328673,0.743,0.943,0.236,0.72,20.015,24.28,0.941,0.762,1.0,1.0,1.0,0.0,0.383,1.568,1.294,1.227,0.657,0.304,,,
normalized_3drna_rp14_free_5.pdb,14.873,0.0002591176067703,0.703,0.943,0.0,0.699,21.15,26.06,0.881,0.667,0.857,1.0,1.0,0.0,0.385,1.573,1.343,1.275,0.633,0.304,,,
normalized_3drna_rp14_free_3.pdb,15.217,0.0005187003483291,0.721,0.943,0.0,0.691,21.117,24.6,0.893,0.714,0.857,1.0,1.0,0.0,0.377,1.604,1.391,1.296,0.633,0.274,,,
normalized_3drna_rp14_free.pdb,15.356,0.0006801276564465,0.673,0.825,0.289,0.651,22.832,36.41,0.905,0.714,0.905,1.0,1.0,0.0,0.307,1.63,1.409,1.105,0.558,0.307,,,
normalized_rnajp_rp14_free.pdb,15.37,0.000699093064567,0.717,0.818,0.408,0.712,21.444,23.34,0.786,0.524,0.809,0.857,0.952,0.0,0.228,1.595,1.367,1.408,0.086,0.299,,,
normalized_rhofold_rp14_free.pdb,15.42,0.0007692245435689,0.658,0.849,0.0,0.634,23.421,50.77,0.774,0.429,0.762,0.905,1.0,0.0,0.261,1.621,1.22,0.836,0.485,0.286,,,
normalized_isrna_rp14_free.pdb,15.444,0.0008049993558252,0.713,0.943,0.0,0.682,21.654,24.89,0.762,0.571,0.762,0.809,0.905,0.0,0.219,1.644,1.195,1.205,0.52,0.298,,,
normalized_mcsym_rp14_free_1.pdb,15.8,0.0015589301052148,0.672,0.839,0.0,0.659,23.52,39.6,0.821,0.476,0.809,1.0,1.0,0.0,0.304,1.662,1.313,1.319,0.01,0.285,,,
normalized_trrosettarna_rp14_free_5.pdb,15.977,0.0021321526654683,0.282,0.25,0.0,0.362,56.716,59.19,0.369,0.191,0.286,0.381,0.619,0.0,0.172,1.627,1.832,0.339,0.544,0.278,,,
normalized_trrosettarna_rp14_free_4.pdb,15.987,0.0021720807006795,0.362,0.144,0.0,0.466,44.142,61.14,0.381,0.191,0.333,0.381,0.619,0.0,0.199,1.605,1.827,0.342,0.54,0.27,,,
normalized_mcsym_rp14_free_2.pdb,17.28,0.0164379550453959,0.619,0.825,0.0,0.603,27.901,37.61,0.786,0.429,0.714,1.0,1.0,0.0,0.268,1.816,1.456,1.189,0.013,0.28,,,
normalized_mcsym_rp14_free_5.pdb,19.014,0.1208422385548453,0.667,0.884,0.0,0.659,28.519,36.4,0.691,0.476,0.619,0.762,0.905,0.0,0.272,1.983,1.466,1.25,0.017,0.272,,,
normalized_mcsym_rp14_free_3.pdb,19.248,0.1490298077976209,0.678,0.849,0.0,0.675,28.38,35.54,0.762,0.429,0.714,0.905,1.0,0.0,0.227,1.978,1.286,1.182,0.004,0.295,,,
normalized_vfold_rp14_free.pdb,19.278,0.1530103432480521,0.686,0.884,0.0,0.68,28.114,33.18,0.714,0.381,0.714,0.857,0.905,0.0,0.227,2.032,1.467,0.908,0.003,0.284,,,
normalized_eprna_rp14_free.pdb,21.81,0.6491234266058805,0.072,,0.0,0.152,304.563,85.86,0.262,0.095,0.238,0.286,0.429,0.0,0.12,2.15,2.275,0.103,0.0,0.188,,,
normalized_ifoldrna_rp14_free_5.pdb,23.34,0.891219635302984,0.271,0.0,0.0,0.408,86.233,32.49,0.393,0.191,0.286,0.476,0.619,0.0,0.165,2.382,2.223,0.279,0.0,0.23,,,
normalized_ifoldrna_rp14_free_4.pdb,30.341,0.99999984927205,0.248,0.0,0.0,0.386,122.31,33.24,0.333,0.286,0.286,0.333,0.429,0.0,0.142,3.055,2.061,0.22,0.005,0.214,,,
normalized_ifoldrna_rp14_free_3.pdb,30.548,0.9999999185348142,0.285,0.0,0.0,0.423,107.354,32.56,0.333,0.191,0.286,0.381,0.476,0.0,0.172,3.106,2.196,0.222,0.004,0.218,,,
normalized_ifoldrna_rp14_free_1.pdb,30.746,0.9999999553768336,0.248,0.0,0.0,0.423,123.942,31.43,0.357,0.191,0.286,0.381,0.571,0.0,0.202,3.099,2.202,0.269,0.005,0.231,,,
normalized_ifoldrna_rp14_free_2.pdb,31.269,0.9999999914000608,0.279,0.0,0.0,0.434,112.045,33.02,0.357,0.238,0.286,0.429,0.476,0.0,0.192,3.149,2.172,0.305,0.0,0.227,,,
normalized_alphafold3_rp14_free_2.pdb,3.838,0.0,0.883,0.938,1.0,0.85,4.346,19.15,0.905,0.809,0.857,0.952,1.0,0.0,0.478,0.417,0.568,1.434,0.799,0.311,0.0,63.793,37.0
normalized_alphafold3_rp14_free_1.pdb,4.28,0.0,0.889,0.938,1.0,0.858,4.811,19.6,0.881,0.762,0.809,0.952,1.0,0.0,0.426,0.454,0.572,1.418,0.797,0.311,0.0,63.793,37.0
normalized_alphafold3_rp14_free_4.pdb,4.305,0.0,0.875,0.938,1.0,0.836,4.922,20.15,0.881,0.762,0.809,0.952,1.0,0.0,0.41,0.461,0.564,1.436,0.799,0.311,0.0,63.793,37.0
normalized_alphafold3_rp14_free_3.pdb,4.539,0.0,0.889,0.938,1.0,0.858,5.103,19.61,0.893,0.762,0.857,0.952,1.0,0.0,0.423,0.488,0.568,1.427,0.798,0.311,0.0,63.793,37.0
normalized_alphafold3_rp14_free_5.pdb,4.665,0.0,0.883,0.938,1.0,0.85,5.281,19.44,0.881,0.762,0.809,0.952,1.0,0.0,0.41,0.51,0.568,1.431,0.797,0.311,0.0,63.793,37.0
