,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_4ENC_3.pdb,2.336,0.0,0.566,0.856,0.0,0.522,4.128,27.99,0.722,0.864,0.181,1.32,1.297,0.0,0.87,0.558,0.923,1.0,1.0,0.701
normalized_trrosettarna_4ENC_1.pdb,2.446,0.0,0.461,0.689,0.0,0.457,5.306,40.41,0.717,0.855,0.188,1.542,0.949,0.0,0.856,0.5,0.923,1.0,1.0,0.661
normalized_trrosettarna_4ENC_4.pdb,2.455,0.0,0.531,0.653,0.0,0.525,4.626,35.41,0.733,0.812,0.179,1.53,0.989,0.0,0.88,0.558,0.962,1.0,1.0,0.65
normalized_trrosettarna_4ENC_2.pdb,2.57,0.0,0.59,0.856,0.236,0.546,4.354,34.12,0.719,0.872,0.197,1.199,1.406,0.0,0.865,0.577,0.885,1.0,1.0,0.691
normalized_rhofold_4ENC.pdb,3.601,0.0,0.727,0.968,,0.655,4.955,44.95,0.455,0.789,0.351,1.122,1.113,0.0,0.668,0.25,0.538,0.885,1.0,0.627
normalized_alphafold3_4ENC_1.pdb,3.63,0.0,0.902,0.968,0.577,0.897,4.026,12.18,0.513,0.904,0.361,0.671,2.323,0.0,0.688,0.346,0.596,0.827,0.981,0.723
normalized_trrosettarna_4ENC_5.pdb,10.78,4.272526694104606e-07,0.298,,0.0,0.404,36.156,58.14,0.168,0.786,1.178,1.894,0.249,0.0,0.293,0.096,0.211,0.327,0.538,0.516
normalized_vfoldpipeline_4ENC.pdb,14.929,0.004434639890682712,0.429,0.373,0.0,0.469,34.835,22.36,0.215,0.55,1.542,2.197,1.18,0.0,0.26,0.135,0.25,0.308,0.346,0.185
normalized_3drna_4ENC_1.pdb,15.934,0.019756777834860018,0.538,0.408,,0.605,29.622,35.22,0.143,0.625,1.612,1.799,1.156,0.0,0.284,0.154,0.25,0.346,0.385,0.368
normalized_3drna_4ENC_2.pdb,15.98,0.02101938456489716,0.49,0.358,,0.564,32.62,34.27,0.243,0.609,1.675,2.04,1.218,0.0,0.312,0.192,0.288,0.346,0.423,0.342
normalized_vfold_4ENC_3.pdb,16.582,0.04468876118240667,0.492,0.373,0.0,0.594,33.691,27.56,0.199,0.602,1.663,1.965,0.935,0.0,0.264,0.154,0.25,0.288,0.365,0.002
normalized_3drna_4ENC_4.pdb,16.603,0.045755770792827055,0.503,0.373,0.333,0.579,33.032,32.54,0.271,0.589,1.669,2.029,1.195,0.0,0.312,0.269,0.288,0.308,0.385,0.327
normalized_simrna_4ENC.pdb,16.902,0.06413760971499288,0.459,0.304,0.289,0.537,36.818,23.5,0.195,0.622,1.814,2.213,1.912,0.0,0.332,0.211,0.327,0.365,0.423,0.007
normalized_rnacomposer_4ENC.pdb,17.173,0.08521913777972845,0.551,0.373,0.408,0.63,31.152,28.46,0.245,0.606,1.755,1.974,0.926,0.0,0.298,0.231,0.288,0.308,0.365,0.362
normalized_3drna_4ENC_3.pdb,17.61,0.12974587953270456,0.475,0.373,0.0,0.555,37.038,34.5,0.265,0.613,1.784,1.921,1.222,0.0,0.327,0.211,0.346,0.365,0.385,0.333
normalized_vfold_4ENC_2.pdb,17.623,0.13128276620856372,0.565,0.358,,0.679,31.167,29.29,0.22,0.602,1.786,1.874,1.087,0.0,0.274,0.154,0.288,0.308,0.346,0.011
normalized_vfold_4ENC_1.pdb,17.65,0.1344935264544862,0.473,0.373,,0.535,37.287,28.8,0.187,0.604,1.885,1.949,0.997,0.0,0.264,0.135,0.25,0.308,0.365,0.002
normalized_isrna_4ENC.pdb,17.783,0.1510746380756841,0.58,0.358,0.0,0.683,30.673,21.28,0.215,0.645,1.818,1.892,1.163,0.0,0.288,0.173,0.269,0.327,0.385,0.385
normalized_3drna_4ENC_5.pdb,18.012,0.18287196547982565,0.524,0.373,0.0,0.612,34.36,28.94,0.153,0.588,1.832,1.901,1.383,0.0,0.279,0.211,0.25,0.288,0.365,0.33
normalized_vfold_4ENC_4.pdb,18.509,0.26486646151599164,0.544,0.373,0.0,0.653,34.001,28.06,0.205,0.608,1.879,1.966,1.081,0.0,0.255,0.135,0.25,0.308,0.327,0.006
normalized_rnajp_4ENC.pdb,19.427,0.4528587158102436,0.553,0.358,0.408,0.635,35.112,24.85,0.217,0.618,1.995,1.893,1.459,0.0,0.327,0.192,0.327,0.365,0.423,0.009
normalized_mcsym_4ENC_3.pdb,19.833,0.5427294677344424,0.369,0.0,0.0,0.533,53.759,44.02,0.162,0.535,2.032,2.323,1.177,0.0,0.168,0.077,0.154,0.192,0.25,0.002
normalized_vfold_4ENC_5.pdb,19.876,0.5521764509061524,0.538,0.373,0.577,0.602,36.955,26.8,0.159,0.604,2.018,1.891,1.257,0.0,0.288,0.211,0.288,0.308,0.346,0.006
